ticker,name,sector,market_cap_category
2020O.ST,2020 Bulkers Ltd.,Industrials,Nano Cap
2CUREX.ST,2cureX AB,Health Care,Nano Cap
3KR.ST,Tre Kronor Property Investment AB (publ),Real Estate,Micro Cap
4C.ST,4C Group AB,Industrials,Micro Cap
8TRA.ST,TRATON SE,Consumer Discretionary,Large Cap
AAA.ST,ArcAroma AB (publ),Industrials,Nano Cap
AAC.ST,AAC Clyde Space AB (publ),Information Technology,Micro Cap
AAK.ST,AAK AB (publ.),Consumer Staples,Mid Cap
ABB.ST,ABB Ltd.,Industrials,Large Cap
ABGO.ST,ABG Sundal Collier Holding ASA,Financials,Mid Cap
ABSO.ST,Absolent Air Care Group AB (publ),Industrials,Small Cap
ACAD.ST,AcadeMedia AB (publ),Consumer Staples,Small Cap
ACARIX.ST,Acarix AB (publ),Health Care,Nano Cap
ACAST.ST,Acast AB,Information Technology,Mid Cap
ACCON.ST,Acconeer AB,Information Technology,Micro Cap
ACE.ST,Ascelia Pharma AB (publ),Health Care,Micro Cap
ACOU.ST,AcouSort AB (publ),Health Care,Nano Cap
ACRI-A.ST,Acrinova AB (publ),Real Estate,Micro Cap
ACRI-B.ST,Acrinova AB Class B,Financials,Micro Cap
ACRO.ST,Axactor ASA,Industrials,Mid Cap
ACROUD.ST,Acroud AB,Information Technology,Micro Cap
ACTI.ST,Active Biotech AB (publ),Health Care,Nano Cap
ACUVI.ST,Acuvi AB,Industrials,Micro Cap
ADDERA.ST,AdderaCare AB,Health Care,Nano Cap
ADDT-B.ST,Addtech AB (publ.),Industrials,Mid Cap
ADDV-A.ST,ADDvise Group AB (publ),Health Care,Micro Cap
ADDV-B.ST,ADDvise Group AB (publ),Health Care,Micro Cap
ADTR.ST,Adtraction Group AB,Information Technology,Small Cap
ADVBOX.ST,Adventure Box Technology AB (publ),Communication Services,Nano Cap
ADVE.ST,Advenica AB (publ),Information Technology,Nano Cap
AEC.ST,Africa Energy Corp.,Energy,Small Cap
AERO.ST,Svenska Aerogel Holding AB (publ),Materials,Nano Cap
AFGO.ST,AF Gruppen ASA Class A,Industrials,Large Cap
AFKO.ST,Arendals Fossekompani ASA,Utilities,Mid Cap
AFRY.ST,AFRY AB Class B,Industrials,Large Cap
AGES-B.ST,AGES Industri AB,Industrials,Micro Cap
AGROUP.ST,Arlandastad Group AB,Financials,Mid Cap
AGTIRA-B.ST,Agtira AB Class B,Materials,Micro Cap
AINO.ST,Aino Health AB (publ),Health Care,Nano Cap
AIRA.ST,AI Revenue Assistant Software Stockholm AB,Unknown,Nano Cap
AJA-B.ST,Byggmastare Anders J Ahlstrom Holding AB (publ),Industrials,Micro Cap
AKASTO.ST,Akastor ASA,Industrials,Mid Cap
AKBMO.ST,Aker BioMarine ASA,Materials,Mid Cap
AKEL-D.ST,Akelius Residential Property AB (publ),Real Estate,Small Cap
AKERO.ST,Aker ASA Class A,Financials,Large Cap
AKRBPO.ST,Aker BP ASA,Energy,Large Cap
AKSOO.ST,Aker Solutions ASA,Utilities,Large Cap
ALBERT.ST,eEducation Albert AB,Information Technology,Micro Cap
ALCA.ST,Alcadon Group AB (publ),Information Technology,Micro Cap
ALELIO.ST,Alelion Energy Systems AB,Industrials,Nano Cap
ALFA.ST,Alfa Laval AB (publ),Industrials,Large Cap
ALIF-B.ST,AddLife AB (publ),Health Care,Mid Cap
ALIG.ST,Alimak Group AB (publ),Industrials,Small Cap
ALIV-SDB.ST,Autoliv Inc.,Consumer Discretionary,Mid Cap
ALLEI.ST,Alleima AB,Materials,Large Cap
ALLIGO-B.ST,Alligo AB Class B,Industrials,Mid Cap
ALM-PREF.ST,ALM Equity AB Pref.shs,Financials,Small Cap
ALM.ST,ALM Equity AB (publ),Real Estate,Small Cap
ALNGO.ST,ALNG ASA,Energy,Small Cap
ALPCOT-B.ST,Alpcot Holding AB Class B,Financials,Micro Cap
ALTRA.ST,Altra Fastigheter AB,Financials,Large Cap
ALZ.ST,Alzinova AB,Health Care,Nano Cap
ALZCUR-BTA.ST,AlzeCure Pharma AB TEMP,Health Care,Small Cap
ALZCUR.ST,AlzeCure Pharma AB (publ),Health Care,Nano Cap
AMAST-PREF.ST,Amasten Fastighets AB (publ),Real Estate,Micro Cap
AMAST.ST,Amasten Fastighets AB (publ),Real Estate,Small Cap
AMBEA.ST,Ambea AB (publ),Health Care,Small Cap
ANNE-B.ST,Annehem Fastigheter AB,Real Estate,Micro Cap
ANNX.ST,Annexin Pharmaceuticals AB (publ),Health Care,Nano Cap
