key,kind,values
CAG,CODE_MULTIPLE_ISIN,SE0001337213|SE0011923341
AQUA,CODE_MULTIPLE_ISIN,DK0060031094|DK0060338572
ELN,CODE_MULTIPLE_ISIN,SE0001233289|SE0014730347
FASTPC,CODE_MULTIPLE_ISIN,DK0060092203|DK0060568145
LLSW B,CODE_MULTIPLE_ISIN,SE0001535568|SE0005126125
PCOM B,CODE_MULTIPLE_ISIN,SE0002114330|SE0006091724
SKMO,CODE_MULTIPLE_ISIN,SE0000476228|SE0017885338
TAGM B,CODE_MULTIPLE_ISIN,SE0000514408|SE0015950399
KAN,CODE_MULTIPLE_ISIN,SE0003622265|SE0015658570
OBAB,CODE_MULTIPLE_ISIN,SE0001960949|SE0017133838
ALM,CODE_MULTIPLE_ISIN,SE0000540163|SE0018741985
SE0000671745,ISIN_MULTIPLE_CODE,AVEN|INXL
SE0001337213,ISIN_MULTIPLE_CODE,AUR|CAG
SE0002053876,ISIN_MULTIPLE_CODE,DONE|NORDK
SE0001234923,ISIN_MULTIPLE_CODE,CASO|EFFN|FACT
SE0001799636,ISIN_MULTIPLE_CODE,FHEM B|GHUS B
SE0000308298,ISIN_MULTIPLE_CODE,NETR|NIS
SE0001295437,ISIN_MULTIPLE_CODE,360H|TBDY
SE0001306119,ISIN_MULTIPLE_CODE,ADDV|ADDV A
DK0060084614,ISIN_MULTIPLE_CODE,AFFSTR|AFFSTR B
FI0009015580,ISIN_MULTIPLE_CODE,EDI1V|ZEE1V
SE0001175803,ISIN_MULTIPLE_CODE,EMTR|SOGH
SE0002316810,ISIN_MULTIPLE_CODE,GIM|ONG
DK0060074144,ISIN_MULTIPLE_CODE,GUAVA|NBOOST
SE0001666553,ISIN_MULTIPLE_CODE,NLAB|RBET
SE0000188500,ISIN_MULTIPLE_CODE,CAT A|SCRI A
SE0000188518,ISIN_MULTIPLE_CODE,CAT B|SCRI B
SE0001486952,ISIN_MULTIPLE_CODE,COIL|MISE
SE0001790346,ISIN_MULTIPLE_CODE,NJOB|SIR
SE0002169292,ISIN_MULTIPLE_CODE,WINT|WPAY
SE0001994658,ISIN_MULTIPLE_CODE,NFGAB|VINO
SE0001960949,ISIN_MULTIPLE_CODE,OBAB|OFAB
SE0003883800,ISIN_MULTIPLE_CODE,DELT|DIST
SE0001915190,ISIN_MULTIPLE_CODE,COPP B|KMIN B
SE0005034550,ISIN_MULTIPLE_CODE,AMAST|NEOBO
SE0003204908,ISIN_MULTIPLE_CODE,JAYS|NBZ
SE0004020931,ISIN_MULTIPLE_CODE,NANOC B|SGLD B
FI4000092523,ISIN_MULTIPLE_CODE,EAGLE|EAGLES
FI4000506811,ISIN_MULTIPLE_CODE,NXTMH|NXTMS
FI4000425848,ISIN_MULTIPLE_CODE,SAVOH|SAVOS
FI4000330972,ISIN_MULTIPLE_CODE,NANOFH|NANOFS
