attachment_object_id,attachment_url,cache_status,classification_reason,common_neutral_fields,disclosure_id,extracted_observations,filename,final_classification,first_north_markers,local_path,main_market_markers,provenance_verification,publication_timestamp,report_month,sha256,sheet_names
69906523b31c7a4229e6ef11edecade9dab1a62dafa36bf82f822ea8036d8ce7,https://attachment.news.eu.nasdaq.com/ada5704339aa4eeb61386d2e24490a96e,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,362287,131,equity trading by company and instrument - first north 0908.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/69/69906523b31c7a4229e6ef11edecade9dab1a62dafa36bf82f822ea8036d8ce7.xls,,PASS,2009-09-03 08:42:55,2009-08,bca3b4266a24e533bab550589fa1523071065416bd1df9ade4f2458a573d469b,Contents|Company Trading Overview|Instrument Trading Details
2d886b08c18454c7da805985ac69ba9318fa3dcfc6e531103ace62b36ed3da56,https://attachment.news.eu.nasdaq.com/a2b0da685c31d36533ffbda7f71bc8450,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,367101,131,equity trading by company and instrument - first north 0909.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/2d/2d886b08c18454c7da805985ac69ba9318fa3dcfc6e531103ace62b36ed3da56.xls,,PASS,2009-10-05 16:22:21,2009-09,16424a026bdd0805894e11388cd68752bc4a79b44593e9a387b55f414c385731,Contents|Company Trading Overview|Instrument Trading Details
0ee4cf55d4442ae5a2a258b164eaaab06ac7efd1e5b896952618c41349467ad0,https://attachment.news.eu.nasdaq.com/a74779c43baffa090e18cbbde7d654fd2,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,372271,132,equity trading by company and instrument - first north 0910.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/0e/0ee4cf55d4442ae5a2a258b164eaaab06ac7efd1e5b896952618c41349467ad0.xls,,PASS,2009-11-05 13:06:26,2009-10,6b7a3229f805e64cbd8d8003f49cc8649754e5bf157ce2e270585641945731bc,Contents|Company Trading Overview|Instrument Trading Details
f76315196b34da7f5389d7c2aff286c0b7a2662157a83b36438bb6355f77e3ff,https://attachment.news.eu.nasdaq.com/a32a74097d802051485bc1bbebedd1c65,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,376411,132,equity trading by company and instrument - first north 0911.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/f7/f76315196b34da7f5389d7c2aff286c0b7a2662157a83b36438bb6355f77e3ff.xls,,PASS,2009-12-02 16:14:38,2009-11,26a2e597b4c2df5b626221d603bb6da51f5925854f0e4e7a3f8a38b4b2c3f94b,Contents|Company Trading Overview|Instrument Trading Details
c1c8fe00a81ddd31aeca04e0f0b2b65d271fd956c56af16530fa6ceb0ea27f5c,https://attachment.news.eu.nasdaq.com/a9d2d10b2b53c390fbcb984567bdf5ed9,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,381026,131,equity trading by company and instrument - first north 0912.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/c1/c1c8fe00a81ddd31aeca04e0f0b2b65d271fd956c56af16530fa6ceb0ea27f5c.xls,,PASS,2010-01-13 18:07:16,2009-12,6c8aa918c8ab9634c7802b2cb60abb29e80b9e12874d7c7efd6f61ee488167f9,Contents|Company Trading Overview|Instrument Trading Details
d8cfd9ee38c2aeedbfec25ee2b688090c430b50c149fd82583f35456e5427696,https://attachment.news.eu.nasdaq.com/a4b16bc9451a921c0a347af1bd2bfc327,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,384746,128,equity trading by company and instrument - first north 1001.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/d8/d8cfd9ee38c2aeedbfec25ee2b688090c430b50c149fd82583f35456e5427696.xls,,PASS,2010-02-10 15:29:44,2010-01,f1ef37aed653ec9bed43f7fc0c91cb3bbe7bdb36ecdd803cb99d90405eb04236,Contents|Company Trading Overview|Instrument Trading Details
973a7b35efa7f99d4b9c06fc3ba1d1bf530d4f69d7aeba3e858a4b2ec0e3c8a1,https://attachment.news.eu.nasdaq.com/a036d33a2cb75b20443b51525396eec3b,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,396461,128,equity trading by company and instrument - first north 1003.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/97/973a7b35efa7f99d4b9c06fc3ba1d1bf530d4f69d7aeba3e858a4b2ec0e3c8a1.xls,,PASS,2010-04-15 10:17:11,2010-03,81ce4ea0fb1be223d94a77a3b3433e82d0d1a16c3c74cf8bbadc09a9fd35226c,Contents|Company Trading Overview|Instrument Trading Details
dac6d0d1c1943d80e834a56a1815d8f7b1074e86d8d76702becfcb325091dd3d,https://attachment.news.eu.nasdaq.com/a09c1759ff0e64480854acd141ac34e2e,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,406081,127,equity trading by company and instrument - first north 1005.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/da/dac6d0d1c1943d80e834a56a1815d8f7b1074e86d8d76702becfcb325091dd3d.xls,,PASS,2010-06-03 16:40:44,2010-05,d18fd19909ed4cf04a9fd4a5ff9e5198e9768aaf13655d7dce343d4922de8f88,Contents|Company Trading Overview|Instrument Trading Details
513bcb8d90ec31c3e4b79ae3e18a1f563e79d2be360df718f3090de5e9a8a4ad,https://attachment.news.eu.nasdaq.com/aa44bfa701d53e0aadcfe67c0f2e3e2fe,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,409548,122,equity trading by company and instrument - first north 1006.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/51/513bcb8d90ec31c3e4b79ae3e18a1f563e79d2be360df718f3090de5e9a8a4ad.xls,,PASS,2010-07-02 17:02:18,2010-06,4490a7c501a7a1e730b8dfef861a3c0c7c88e26fa55f04bb7b8e00481c65f716,Contents|Company Trading Overview|Instrument Trading Details
880c4d80b9c5565f34abb03a65ffdcafef207119b7ca5b0bcc7743b820ede1fe,https://attachment.news.eu.nasdaq.com/a2c4d86ee264efa470b171f92235244eb,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,412965,127,equity trading by company and instrument - first north 1007.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/88/880c4d80b9c5565f34abb03a65ffdcafef207119b7ca5b0bcc7743b820ede1fe.xls,,PASS,2010-08-09 10:30:11,2010-07,cc469c6a12efeb1aaeee579ad9cc731a9699c2f2d51bd20bcb854ef303e58117,Contents|Company Trading Overview|Instrument Trading Details
